activity_year,HMDA_name,Number of Single Family Principle Residence Loans,CDFI Headquarter State, Average Loan Size , Totals ,"Bank, Credit Union or Loan Fund: B/C"
2022,LEADERS CREDIT UNION,530,TN," $209,339.62 "," $110,950,000.00 ",C
2022,GREYLOCK FEDERAL CREDIT UNION,502,MA," $245,537.85 "," $123,260,000.00 ",C
2022,GECU,484,TX," $194,008.26 "," $93,900,000.00 ",C
2022,TRULIANT FEDERAL CREDIT UNION,483,NC," $326,863.35 "," $157,875,000.00 ",C
2022,CHAMPIONS FUNDING,463,AZ," $456,382.29 "," $211,305,000.00 ",LOAN FUND
2022,PRIORITY BANK,460,AR," $245,565.22 "," $112,960,000.00 ",B
2022,FAIRWINDS CREDIT UNION,399,FL," $323,571.43 "," $129,105,000.00 ",C
2022,WASHINGTON STATE EMPLOYEES CREDIT UNION,397,WA," $421,146.10 "," $167,195,000.00 ",C
2022,NUSENDA FEDERAL CREDIT UNION,378,NM," $281,216.93 "," $106,300,000.00 ",C
2022,FIDELITY BANK,374,AR," $253,930.48 "," $94,970,000.00 ",B
2022,COMMUNITY 1ST CREDIT UNION,357,IA," $137,661.06 "," $49,145,000.00 ",C
2022,PARTNERS FEDERAL CREDIT UNION,346,CA," $503,786.13 "," $174,310,000.00 ",C
2022,"GUARANTY BANK & TRUST, N.A",335,MS," $333,776.12 "," $111,815,000.00 ",B
2022,GOLDENWEST FEDERAL CREDIT UNION,314,UT," $436,656.05 "," $137,110,000.00 ",C
2022,ASSEMBLIES OF GOD CREDIT UNION,307,MO," $272,296.42 "," $83,595,000.00 ",C
2022,TRAVIS CREDIT UNION,280,CA," $753,464.29 "," $210,970,000.00 ",C
2022,ASCENTRA CREDIT UNION,271,IA," $169,354.24 "," $45,895,000.00 ",C
2022,FREEDOM FIRST FEDERAL CREDIT UNION,270,VA," $244,703.70 "," $66,070,000.00 ",C
2022,Y-12 FEDERAL CREDIT UNION,260,TN," $296,076.92 "," $76,980,000.00 ",C
2022,PRIORITYONE BANK,259,MS," $269,787.64 "," $69,875,000.00 ",B
2022,RIVERMARK COMMUNITY CREDIT UNION,258,OR," $431,511.63 "," $111,330,000.00 ",C
2022,TELHIO CREDIT UNION,257,OH," $269,357.98 "," $69,225,000.00 ",C
2022,BANKFIRST FINANCIAL SERVICES,244,MS," $286,434.43 "," $69,890,000.00 ",B
2022,SECURITY FEDERAL BANK,230,SC," $300,565.22 "," $69,130,000.00 ",B
2022,NUVISION FEDERAL CREDIT UNION,223,CA," $500,201.79 "," $111,545,000.00 ",C
2022,RIVERHILLS BANK,222,MS," $242,162.16 "," $53,760,000.00 ",B
2022,INTERNATIONAL BANK OF CHICAGO,218,IL," $254,403.67 "," $55,460,000.00 ",B
2022,FINANCIAL PARTNERS CREDIT UNION,213,CA," $838,802.82 "," $178,665,000.00 ",C
2022,DUPONT COMMUNITY FEDERALLY INSURED STATE-CHARTERED CREDIT UNION,212,VA," $274,198.11 "," $58,130,000.00 ",C
2022,TINKER FEDERAL CREDIT UNION,206,OK," $197,427.18 "," $40,670,000.00 ",C
2022,UNIVERSITY OF MICHIGAN CREDIT UNION,206,MI," $273,349.51 "," $56,310,000.00 ",C
2022,GTE FEDERAL CREDIT UNION,198,FL," $295,050.51 "," $58,420,000.00 ",C
2022,SOUTHERN BANCORP BANK,195,AR," $139,205.13 "," $27,145,000.00 ",B
2022,CROSS KEYS BANK,190,LA," $249,000.00 "," $47,310,000.00 ",B
2022,DAY AIR CREDIT UNION,186,OH," $172,634.41 "," $32,110,000.00 ",C
2022,COOPERATIVA DE AHORRO Y CREDITO LA PUERTORRIQUEN脤茠A,184,PR," $107,445.65 "," $19,770,000.00 ",C
2022,CREDIT UNION ONE,178,MI," $186,011.24 "," $33,110,000.00 ",C
2022,PEOPLES COMMUNITY BANK,167,MO," $142,005.99 "," $23,715,000.00 ",B
2022,ORANGE COUNTY'S CREDIT UNION,166,CA," $547,228.92 "," $90,840,000.00 ",C
2022,DESCO CREDIT UNION,164,OH," $152,560.98 "," $25,020,000.00 ",C
2022,THE CITIZENS NATIONAL BANK OF MERIDIAN,163,MS," $220,214.72 "," $35,895,000.00 ",B
2022,COOPERATIVA DE AHORRO Y CREDITO DE RINCON,158,PR," $112,468.35 "," $17,770,000.00 ",C
2022,ORION FEDERAL CREDIT UNION,152,TN," $340,592.11 "," $51,770,000.00 ",C
2022,SELF-HELP CREDIT UNION,151,NC," $184,139.07 "," $27,805,000.00 ",C
2022,HAPO COMMUNITY CREDIT UNION,150,WA," $441,933.33 "," $66,290,000.00 ",C
2022,PELICAN STATE CREDIT UNION,138,LA," $145,144.93 "," $20,030,000.00 ",C
2022,"NEWPORT NEWS SHIPBUILDING EMPLOYEES CREDIT UNION, INC. DBA BAYPORT CREDIT UNION",136,VA," $288,529.41 "," $39,240,000.00 ",C
2022,GROW FINANCIAL FEDERAL CREDIT UNION,127,FL," $300,275.59 "," $38,135,000.00 ",C
2022,COMMERCIAL BANK & TRUST CO,124,AR," $300,080.65 "," $37,210,000.00 ",B
2022,PONCE BANK,121,NY," $548,388.43 "," $66,355,000.00 ",B
2022,ATOMIC CREDIT UNION,119,OH," $185,252.10 "," $22,045,000.00 ",C
2022,FARMERS BANK AND TRUST COMPANY,116,AR," $182,931.03 "," $21,220,000.00 ",B
2022,LIBERTY BANK AND TRUST COMPANY,116,LA," $269,482.76 "," $31,260,000.00 ",B
2022,SELCO COMMUNITY CREDIT UNION,116,OR," $369,741.38 "," $42,890,000.00 ",C
2022,MAZUMA CREDIT UNION,113,KS," $253,141.59 "," $28,605,000.00 ",C
2022,VANTAGE WEST CREDIT UNION,113,AZ," $318,982.30 "," $36,045,000.00 ",C
2022,CAPITAL EDUCATORS FEDERAL CREDIT UNION,108,ID," $356,018.52 "," $38,450,000.00 ",C
2022,ENVISION CREDIT UNION,108,FL," $220,462.96 "," $23,810,000.00 ",C
2022,OMNI COMMUNITY CREDIT UNION,107,MI," $169,953.27 "," $18,185,000.00 ",C
2022,SIU CREDIT UNION,106,IL," $114,716.98 "," $12,160,000.00 ",C
2022,USF FEDERAL CREDIT UNION,105,FL," $321,666.67 "," $33,775,000.00 ",C
2022,NORTHWEST COMMUNITY CREDIT UNION,104,OR," $337,980.77 "," $35,150,000.00 ",C
2022,MEMBERS FIRST CREDIT UNION,103,MI," $151,601.94 "," $15,615,000.00 ",C
2022,BANK3,100,TN," $317,700.00 "," $31,770,000.00 ",B
2022,HOPE FEDERAL CREDIT UNION,96,MS," $155,625.00 "," $14,940,000.00 ",C
2022,"SUNRISE BANKS, NATIONAL ASSOCIATION",94,MN," $261,063.83 "," $24,540,000.00 ",B
2022,ALTAONE FEDERAL CREDIT UNION,93,CA," $306,612.90 "," $28,515,000.00 ",C
2022,MERCHANTS & MARINE BANK,93,MS," $222,956.99 "," $20,735,000.00 ",B
2022,CARROLL BANK AND TRUST,90,TN," $124,000.00 "," $11,160,000.00 ",B
2022,CLEARWATER FEDERAL CREDIT UNION,89,MT," $322,640.45 "," $28,715,000.00 ",C
2022,CITIZENS BANK AND TRUST,88,AL," $167,159.09 "," $14,710,000.00 ",B
2022,COMMUNITY CREDIT UNION OF FLORIDA,86,FL," $311,162.79 "," $26,760,000.00 ",C
2022,FORT FINANCIAL FEDERAL CREDIT UNION,85,IN," $218,176.47 "," $18,545,000.00 ",C
2022,CPM FEDERAL CREDIT UNION,84,SC," $265,476.19 "," $22,300,000.00 ",C
2022,ELGA CREDIT UNION,84,MI," $190,714.29 "," $16,020,000.00 ",C
2022,COOPERATIVA DE AHORRO Y CREDITO ORIENTAL,82,PR," $105,000.00 "," $8,610,000.00 ",C
2022,THE BANK OF HOLLY SPRINGS,81,MS," $180,432.10 "," $14,615,000.00 ",B
2022,COOPERATIVA DE AHORRO Y CREDITO VEGA ALTA,80,PR," $87,875.00 "," $7,030,000.00 ",C
2022,FNBC BANK,80,AR," $215,500.00 "," $17,240,000.00 ",B
2022,FIVE STAR CREDIT UNION,77,AL," $151,363.64 "," $11,655,000.00 ",C
2022,HERITAGE FINANCIAL CREDIT UNION,77,NY," $279,935.06 "," $21,555,000.00 ",C
2022,FIRST COMMERCE CREDIT UNION,76,FL," $240,000.00 "," $18,240,000.00 ",C
2022,BAY BANK,75,WI," $175,933.33 "," $13,195,000.00 ",B
2022,CAPITAL PLUS FINANCIAL,75,TX," $164,333.33 "," $12,325,000.00 ",LOAN FUND
2022,CARTER FEDERAL CREDIT UNION,74,LA," $297,837.84 "," $22,040,000.00 ",C
2022,PLANTERS BANK & TRUST COMPANY,66,MS," $130,000.00 "," $8,580,000.00 ",B
2022,CONSOLIDATED FEDERAL CREDIT UNION,62,OR," $520,483.87 "," $32,270,000.00 ",C
2022,EXCITE CREDIT UNION,62,CA," $741,774.19 "," $45,990,000.00 ",C
2022,FIRSTLIGHT FEDERAL CREDIT UNION,61,TX," $215,163.93 "," $13,125,000.00 ",C
2022,BOM BANK,60,LA," $280,833.33 "," $16,850,000.00 ",B
2022,EL PASO AREA TEACHERS FEDERAL CREDIT UNION,59,TX," $285,338.98 "," $16,835,000.00 ",C
2022,TEXAS BAY CREDIT UNION,57,TX," $246,578.95 "," $14,055,000.00 ",C
2022,SEATTLE METROPOLITAN CREDIT UNION,56,WA," $409,821.43 "," $22,950,000.00 ",C
2022,LOUISIANA FEDERAL CREDIT UNION,55,LA," $233,545.45 "," $12,845,000.00 ",C
2022,REV FEDERAL CREDIT UNION,55,SC," $372,272.73 "," $20,475,000.00 ",C
2022,APPALACHIAN COMMUNITY FEDERAL CREDIT UNION,54,TN," $152,407.41 "," $8,230,000.00 ",C
2022,CANTON SCHOOL EMPLOYEES FEDERAL CREDIT UNION,54,OH," $138,703.70 "," $7,490,000.00 ",C
2022,ONPATH FEDERAL CREDIT UNION,54,LA," $267,222.22 "," $14,430,000.00 ",C
2022,VALLEY FIRST CREDIT UNION,54,CA," $458,333.33 "," $24,750,000.00 ",C
2022,CITIZENS BANK AND TRUST COMPANY,51,MS," $222,254.90 "," $11,335,000.00 ",B
2022,SOUTHERN HERITAGE BANK,51,LA," $154,215.69 "," $7,865,000.00 ",B
2022,COOPERATIVA DE AHORRO Y CREDITO DE CAMUY,50,PR," $87,200.00 "," $4,360,000.00 ",C
2022,O BEE CREDIT UNION,50,WA," $389,000.00 "," $19,450,000.00 ",C
2022,BRIGHTSTAR CREDIT UNION,48,FL," $274,583.33 "," $13,180,000.00 ",C
2022,SECURITY CREDIT UNION,48,MI," $134,375.00 "," $6,450,000.00 ",C
2022,THE COTTONPORT BANK,48,LA," $214,583.33 "," $10,300,000.00 ",B
2022,OPPORTUNITIES CREDIT UNION,46,VT," $279,130.43 "," $12,840,000.00 ",C
2022,CASE CREDIT UNION,45,MI," $201,444.44 "," $9,065,000.00 ",C
2022,COMMUNITY FIRST FEDERAL CREDIT UNION,45,MI," $129,666.67 "," $5,835,000.00 ",C
2022,"HOMELAND BANCSHARES, INC",45,LA," $166,333.33 "," $7,485,000.00 ",B
2022,NEIGHBORHOOD NATIONAL BANK,45,CA," $349,000.00 "," $15,705,000.00 ",B
2022,USC CREDIT UNION,45,CA," $914,777.78 "," $41,165,000.00 ",C
2022,COOPERATIVA DE AHORRO Y CREDITO JESUS OBRERO,44,PR," $80,909.09 "," $3,560,000.00 ",C
2022,CARDINAL CREDIT UNION,43,OH," $165,930.23 "," $7,135,000.00 ",C
2022,ESSENTIAL FEDERAL CREDIT UNION,43,LA," $270,813.95 "," $11,645,000.00 ",C
2022,BANK OF ZACHARY,42,LA," $317,380.95 "," $13,330,000.00 ",B
2022,COMMUNITY FIRST CREDIT UNION,41,CA," $194,268.29 "," $7,965,000.00 ",C
2022,INNOVATIONS FEDERAL CREDIT UNION,41,FL," $241,097.56 "," $9,885,000.00 ",C
2022,EXCHANGE BANK & TRUST,40,LA," $177,250.00 "," $7,090,000.00 ",B
2022,FNB PICAYUNE BANK,40,MS," $147,250.00 "," $5,890,000.00 ",B
2022,COOPERATIVA DE AHORRO Y CREDITO LAS PIEDRAS,39,PR," $82,692.31 "," $3,225,000.00 ",C
2022,INTERSTATE CREDIT UNION,38,GA," $111,315.79 "," $4,230,000.00 ",C
2022,KITSAP CREDIT UNION,37,WA," $336,081.08 "," $12,435,000.00 ",C
2022,PRIME FINANCIAL CREDIT UNION,37,WI," $157,702.70 "," $5,835,000.00 ",C
2022,LAKE HURON CREDIT UNION,36,MI," $103,333.33 "," $3,720,000.00 ",C
2022,STATE EMPLOYEES CREDIT UNION,35,NW," $271,285.71 "," $9,495,000.00 ",C
2022,CITIZENS PROGRESSIVE BANK,34,LA," $209,411.76 "," $7,120,000.00 ",B
2022,PEACH STATE FEDERAL CREDIT UNION,33,GA," $288,636.36 "," $9,525,000.00 ",C
2022,SOUTHWEST LOUISIANA CREDIT UNION,33,LA," $115,606.06 "," $3,815,000.00 ",C
2022,CBC FEDERAL CREDIT UNION,32,CA," $1,017,500.00 "," $32,560,000.00 ",C
2022,CITIZENS BANK & TRUST,32,AL," $366,875.00 "," $11,740,000.00 ",B
2022,GIBSLAND BANK & TRUST COMPANY,29,LA," $228,448.28 "," $6,625,000.00 ",B
2022,"MUNICIPAL EMPLOYEES CREDIT UNION OF BALTIMORE, INCORPORATED",29,MD," $316,724.14 "," $9,185,000.00 ",C
2022,NEW HORIZONS CREDIT UNION,29,OH," $278,793.10 "," $8,085,000.00 ",C
2022,NUTMEG STATE FINANCIAL CREDIT UNION,29,CT," $279,827.59 "," $8,115,000.00 ",C
2022,THE FIRST NATIONAL BANK OF JEANERETTE,29,LA," $205,344.83 "," $5,955,000.00 ",B
2022,SECURITY BANK AND TRUST COMPANY,28,TN," $163,214.29 "," $4,570,000.00 ",B
2022,AOD FEDERAL CREDIT UNION,27,AL," $170,555.56 "," $4,605,000.00 ",C
2022,GUADALUPE CREDIT UNION,27,NM," $245,740.74 "," $6,635,000.00 ",C
2022,MERITUS FEDERAL CREDIT UNION,27,LA," $153,518.52 "," $4,145,000.00 ",C
2022,NEIGHBORS FEDERAL CREDIT UNION,27,LA," $265,000.00 "," $7,155,000.00 ",C
2022,WE FLORIDA FINANCIAL,27,FL," $331,296.30 "," $8,945,000.00 ",C
2022,CONNECTIONS CREDIT UNION,26,ID," $340,384.62 "," $8,850,000.00 ",C
2022,MARINE FEDERAL CREDIT UNION,26,NC," $280,384.62 "," $7,290,000.00 ",C
2022,OHIO VALLEY COMMUNITY FEDERAL CREDIT UNION,26,OH," $125,769.23 "," $3,270,000.00 ",C
2022,TEXAS NATIONAL BANK,26,TX," $213,076.92 "," $5,540,000.00 ",B
2022,COASTHILLS CREDIT UNION,25,CA," $515,400.00 "," $12,885,000.00 ",C
2022,FARMERS-MERCHANTS BANK & TRUST COMPANY,25,LA," $69,400.00 "," $1,735,000.00 ",B
2022,HOLY ROSARY REGIONAL CREDIT UNION,25,MO," $334,600.00 "," $8,365,000.00 ",C
2022,ALLTRU FEDERAL CREDIT UNION,24,MO," $163,333.33 "," $3,920,000.00 ",C
2022,ANECA FEDERAL CREDIT UNION,24,LA," $329,583.33 "," $7,910,000.00 ",C
2022,"GUARANTY BANK & TRUST COMPANY OF DELHI, LOUISIANA",23,LA," $116,739.13 "," $2,685,000.00 ",B
2022,NORTHEAST COMMUNITY CREDIT UNION,23,TN," $202,826.09 "," $4,665,000.00 ",C
2022,"THE SAMSON BANKING COMPANY, INC",23,AL," $78,043.48 "," $1,795,000.00 ",B
2022,CAROLINA FOOTHILLS FEDERAL CREDIT UNION,22,SC," $145,909.09 "," $3,210,000.00 ",C
2022,FIRST CENTRAL CREDIT UNION,22,TX," $127,727.27 "," $2,810,000.00 ",C
2022,MID OREGON FEDERAL CREDIT UNION,22,OR," $413,181.82 "," $9,090,000.00 ",C
2022,TIDEMARK FEDERAL CREDIT UNION,22,DE," $389,090.91 "," $8,560,000.00 ",C
2022,COPIAH BANK,21,MS," $136,904.76 "," $2,875,000.00 ",B
2022,FARMERS AND MERCHANTS BANK,21,MS," $282,142.86 "," $5,925,000.00 ",B
2022,"IH CREDIT UNION, INC",21,IL," $108,333.33 "," $2,275,000.00 ",C
2022,ILLIANA FINANCIAL CREDIT UNION,21,IL," $126,428.57 "," $2,655,000.00 ",C
2022,UNITED CREDIT UNION,21,IL," $118,809.52 "," $2,495,000.00 ",C
2022,CONCORDIA BANK & TRUST COMPANY,20,LA," $154,000.00 "," $3,080,000.00 ",B
2022,RIO GRANDE CREDIT UNION,19,NM," $218,684.21 "," $4,155,000.00 ",C
2022,ST JOSEPH'S PARISH BUFFALO FEDERAL CREDIT UNION,19,OH," $131,315.79 "," $2,495,000.00 ",C
2022,DIAMOND LAKES FEDERAL CREDIT UNION,18,AR," $163,333.33 "," $2,940,000.00 ",C
2022,SYCAMORE BANK,18,MS," $151,666.67 "," $2,730,000.00 ",B
2022,US COMMUNITY CREDIT UNION,18,TN," $244,444.44 "," $4,400,000.00 ",C
2022,CARIBE FEDERAL CREDIT UNION,17,PR," $147,941.18 "," $2,515,000.00 ",C
2022,COOPERATIVA DE AHORRO Y CREDITO DE MANATI,17,PR," $175,588.24 "," $2,985,000.00 ",C
2022,GULF COAST COMMUNITY FEDERAL CREDIT UNION,17,MS," $130,294.12 "," $2,215,000.00 ",C
2022,INROADS FEDERAL CREDIT UNION,17,OR," $393,235.29 "," $6,685,000.00 ",C
2022,SPC CREDIT UNION,17,SC," $148,529.41 "," $2,525,000.00 ",C
2022,COMMUNITY SOUTH CREDIT UNION,16,FL," $169,375.00 "," $2,710,000.00 ",B
2022,OUACHITA VALLEY FEDERAL CREDIT UNION,16,LA," $83,125.00 "," $1,330,000.00 ",C
2022,121 FINANCIAL CREDIT UNION,15,FL," $287,666.67 "," $4,315,000.00 ",C
2022,COOPERATIVA DE AHORRO Y CREDITO DE ISABELA,15,PR," $95,000.00 "," $1,425,000.00 ",C
2022,LANDMARK BANK,15,LA," $227,666.67 "," $3,415,000.00 ",B
2022,MOUNTAIN CREDIT UNION,15,NC," $183,000.00 "," $2,745,000.00 ",C
2022,COLFAX BANKING COMPANY,14,LA," $65,714.29 "," $920,000.00 ",B
2022,PANHANDLE FEDERAL CREDIT UNION,14,FL," $107,857.14 "," $1,510,000.00 ",C
2022,UNIVERSITY OF LOUISIANA FEDERAL CREDIT UNION,14,LA," $179,285.71 "," $2,510,000.00 ",C
2022,COOPERATIVA DE AHORRO Y CREDITO HATILLO,13,PR," $175,769.23 "," $2,285,000.00 ",C
2022,SAN RAFAEL COOP,13,PR," $83,461.54 "," $1,085,000.00 ",C
2022,UNITED CONSUMERS CREDIT UNION,13,MO," $180,384.62 "," $2,345,000.00 ",C
2022,CLINCHFIELD FEDERAL CREDIT UNION,12,TN," $192,500.00 "," $2,310,000.00 ",C
2022,LEGACY BANK & TRUST COMPANY,12,MO," $345,833.33 "," $4,150,000.00 ",B
2022,THE UNITED FEDERAL CREDIT UNION,12,WV," $206,666.67 "," $2,480,000.00 ",C
2022,WEST ALABAMA BANK & TRUST,12,AL," $327,500.00 "," $3,930,000.00 ",B
2022,CENTRAL WILLAMETTE CREDIT UNION,11,OR," $288,636.36 "," $3,175,000.00 ",C
2022,"GOLDEN BANK, NATIONAL ASSOCIATION",11,TX," $1,049,545.45 "," $11,545,000.00 ",B
2022,HORIZON CREDIT UNION,11,TN," $140,454.55 "," $1,545,000.00 ",C
2022,PUBLIC SERVICE CREDIT UNION,11,MI," $167,727.27 "," $1,845,000.00 ",C
2022,TAMPA BAY FEDERAL CREDIT UNION,11,FL," $296,818.18 "," $3,265,000.00 ",C
2022,EAST IDAHO CREDIT UNION,10,ID," $533,000.00 "," $5,330,000.00 ",C
2022,FREEDOM BANK,10,TX," $644,000.00 "," $6,440,000.00 ",B
2022,SOUTH GEORGIA BANKING COMPANY,10,GA," $232,000.00 "," $2,320,000.00 ",B
2022,GREATER NEW ORLEANS FEDERAL CREDIT UNION,9,LA," $200,555.56 "," $1,805,000.00 ",C
2022,KATAHDIN FEDERAL CREDIT UNION,9,ME," $151,666.67 "," $1,365,000.00 ",C
2022,"LAKEVIEW COMMUNITY CAPITAL, LLC",9,AZ," $398,333.33 "," $3,585,000.00 ",LOAN FUND
2022,PARTNERS BANK,9,AR," $150,555.56 "," $1,355,000.00 ",B
2022,ASCENSION CREDIT UNION,8,LA," $116,250.00 "," $930,000.00 ",C
2022,COOPERATIVA DE AHORRO Y CREDITO AGUAS BUENAS,8,PR," $107,500.00 "," $860,000.00 ",C
2022,MEMBERS 1ST CREDIT UNION,8,CA," $286,250.00 "," $2,290,000.00 ",C
2022,NORTH JERSEY FEDERAL CREDIT UNION,8,NJ," $562,500.00 "," $4,500,000.00 ",C
2022,PENINSULA COMMUNITY,8,WA," $281,250.00 "," $2,250,000.00 ",C
2022,DADE COUNTY FEDERAL CREDIT UNION,7,FL," $409,285.71 "," $2,865,000.00 ",C
2022,PROGRESSIVE NATIONAL BANK,7,LA," $103,571.43 "," $725,000.00 ",B
2022,PYRAMID FEDERAL CREDIT UNION,7,AZ," $157,857.14 "," $1,105,000.00 ",C
2022,SUNBELT FEDERAL CREDIT UNION,7,MS," $29,285.71 "," $205,000.00 ",C
2022,ALTERNATIVES FEDERAL CREDIT UNION,6,NY," $108,333.33 "," $650,000.00 ",C
2022,BOSSIER FEDERAL CREDIT UNION,6,LA," $303,333.33 "," $1,820,000.00 ",C
2022,COOPERATIVA DE AHORRO Y CREDITO DE SANTA ISABEL,6,PR," $58,333.33 "," $350,000.00 ",C
2022,VOCALITY COMMUNITY CREDIT UNION,6,CA," $291,666.67 "," $1,750,000.00 ",C
2022,CANOPY FEDERAL CREDIT UNION,5,WA," $259,000.00 "," $1,295,000.00 ",C
2022,MULTIPLI CREDIT UNION,5,MO," $373,000.00 "," $1,865,000.00 ",C
2022,OSWEGO COUNTY FEDERAL CREDIT UNION,5,NY," $95,000.00 "," $475,000.00 ",C
2022,ZEAL CREDIT UNION,5,MI," $109,000.00 "," $545,000.00 ",C
2022,CONNEX CREDIT UNION,3,CT," $228,333.33 "," $685,000.00 ",C
2022,COOPERATIVA DE AHORRO Y CREDITO DEL VALENCIANO,3,PR," $191,666.67 "," $575,000.00 ",C
2022,HEART OF LOUISIANA FEDERAL CREDIT UNION,3,LA," $61,666.67 "," $185,000.00 ",C
2022,INDUSTRIAL BANK,3,DC," $265,000.00 "," $795,000.00 ",B
2022,SCE FEDERAL CREDIT UNION,3,CA," $538,333.33 "," $1,615,000.00 ",C
2022,INSOUTH BANK,2,TN," $150,000.00 "," $300,000.00 ",B
2022,THE FOCUS FEDERAL CREDIT UNION,2,OK," $80,000.00 "," $160,000.00 ",C
2022,ASTERA CREDIT UNION,1,MI," $45,000.00 "," $45,000.00 ",C
2022,EAGLE ONE FEDERAL CREDIT UNION,1,DE," $75,000.00 "," $75,000.00 ",C
2022,GUARDIANS CREDIT UNION,1,FL," $115,000.00 "," $115,000.00 ",C
2022,MERCO CREDIT UNION,1,CA," $315,000.00 "," $315,000.00 ",C
2022,MOCSE FEDERAL CREDIT UNION,1,CA," $885,000.00 "," $885,000.00 ",C
2022,PACIFIC CASCADE FEDERAL CREDIT UNION,1,OR," $155,000.00 "," $155,000.00 ",C
2023,CHANGE LENDING,4907,CA," $459,911.35 "," $2,256,785,000.00 ",LOAN FUND
2023,VERIDIAN CREDIT UNION,1942,IA," $223,403.71 "," $433,850,000.00 ",C
2023,ROYAL CREDIT UNION,1798,WI," $291,440.49 "," $524,010,000.00 ",C
2023,SUNCOAST CREDIT UNION,1350,FL," $309,140.74 "," $417,340,000.00 ",C
2023,LOCAL GOVERNMENT FEDERAL CREDIT UNION,1183,NC," $243,191.04 "," $287,695,000.00 ",C
2023,COMMERCE BANK,922,MS," $382,472.89 "," $352,640,000.00 ",B
2023,COVANTAGE CREDIT UNION,797,WI," $181,449.18 "," $144,615,000.00 ",C
2023,BANKPLUS,773,MS," $339,489.00 "," $262,425,000.00 ",B
2023,QUONTIC BANK,749,NY," $456,789.05 "," $342,135,000.00 ",B
2023,DUPACO COMMUNITY CREDIT UNION,695,IA," $226,741.01 "," $157,585,000.00 ",C
2023,EMPOWER FEDERAL CREDIT UNION,680,NY," $173,720.59 "," $118,130,000.00 ",C
2023,LATINO COMMUNITY CREDIT UNION,613,NC," $220,301.79 "," $135,045,000.00 ",C
2023,VYSTAR CREDIT UNION,565,FL," $355,548.67 "," $200,885,000.00 ",C
2023,RIVER BANK & TRUST,561,AL," $335,944.74 "," $188,465,000.00 ",B
2023,CHAMPIONS FUNDING,557,AZ," $392,899.46 "," $218,845,000.00 ",LOAN FUND
2023,UNION BANK AND TRUST COMPANY,555,AR," $300,945.95 "," $167,025,000.00 ",B
2023,TRULIANT FEDERAL CREDIT UNION,536,NC," $430,149.25 "," $230,560,000.00 ",C
2023,MICHIGAN FIRST CREDIT UNION,526,MI," $242,794.68 "," $127,710,000.00 ",C
2023,LEADERS CREDIT UNION,476,TN," $230,840.34 "," $109,880,000.00 ",C
2023,NUSENDA FEDERAL CREDIT UNION,452,NM," $317,500.00 "," $143,510,000.00 ",C
2023,KINECTA FEDERAL CREDIT UNION,432,CA," $1,213,587.96 "," $524,270,000.00 ",C
2023,CHICKASAW COMMUNITY BANK,426,OK," $206,854.46 "," $88,120,000.00 ",C
2023,PRIORITY BANK,398,AR," $251,331.66 "," $100,030,000.00 ",B
2023,SELF-HELP FEDERAL CREDIT UNION,395,NC," $236,113.92 "," $93,265,000.00 ",C
2023,FAIRWINDS CREDIT UNION,392,FL," $375,357.14 "," $147,140,000.00 ",C
